name,position
Andrew Michael Holness,Prime Minister of Jamaica
Aubyn Hill,"Minister of Industry, Investment and Commerce"
Audley Shaw,Minister of Transport and Mining
Christopher Tufton,Minister of Health and Wellness
Daryl Vaz,"Minister of Science, Energy and Technology"
Delroy Chuck,Minister of Justice
Desmond McKenzie,Minister of Local Government and Rural Development
Edmund Bartlett,Minister of Tourism
Fayval Williams,Minister of Education and Youth
Horace Chang,Minister of National Security
Kamina Johnson Smith,Minister of Foreign Affairs and Foreign Trade
Karl Samuda,Minister of Labour and Social Security
Marlene Malahoo Forte,Minister of Legal and Constitutional Affairs
Nigel Clarke,Minister of Finance and the Public Service
Olivia Grange,"Minister of Culture, Gender, Entertainment and Sport"
Pearnel Charles Jr.,Minister of Agriculture and Fisheries
Alando Terrelonge,"Minister of State at the Ministry of Culture, Gender, Entertainment and Sport"
Frank Witter,Minister of State at the Ministry of Agriculture and Fisheries
Homer Davis,Minister of State at the Office of the Prime Minister
J.C. Hutchinson,Minister of State at the Ministry of Transport and Mining
Juliet Cuthbert Flynn,Minister of State at the Ministry of Health and Wellness
Leslie Campbell,Minister of State at the Ministry of Foreign Affairs and Foreign Trade
Marsha Smith,Minister of State at the Ministry of Finance and the Public Service
Norman Dunn,"Minister of State at the Minister of Industry, Investment and Commerce"
Everald Warmington,Minister without Portfolio
Floyd Green,Minister without Portfolio
Matthew Samuda,Minister without Portfolio
Robert Montague,Minister without Portfolio
Robert Morgan,Minister without Portfolio
Zavia Mayne,Minister without Portfolio
